"title","subtitle","sentence","page","line_num","source"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","F.C.M 교량에서의 키 세그먼트는 교량 측경간의 F.S.M과 F.C.M을 연결 시키는 형태의 앤드스판 키세그먼트와 중앙 경 간의 F.C.M과 F.C.M을 연결시키는 형태의 미드스판 키세그먼트Mid span key segment 등으로 분류할 수 있다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","포스트텐셔닝이라 함은 콘크리트가 경화 후 사전에 매 설한 쉬스관을 통한 PS강재에 인장력을 주는 것을 말한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","콘크리 트를 양생한 후 적절히 배열된 프리스트레스 텐던을 긴장시킴으로써 구조물에 영구적인 프리스트레스를 도입하는 원리이다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","메인 프레임이라 함은 교량 상부구조위에 위치하여 거푸집, 철근, 콘크리트 등의 중량을 기 제작된 주형에 전달하는 강재 트 러스로서 고정 장치에 의해 기 제작된 주형에 정착된 것을 말한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","메인 잭이라 함은 메인 프레임으로부터 전달되어 온 하중을 지지하는 잭을 말한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","앵커 잭이라 함은 메인 프레임의 뒷부분에 설치되어 콘크리트 타설에 의해 발생하는 양력에 저항하도록 PS강봉을 프리스트레싱하는 잭을 말한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","거푸집 받침잭이라 함은 이동식 작업대차의 앞부분에 설치되어 있는 현수재의 하단에 부착되어, 거푸집을 지지하고 거푸집의 높낮이를 조절하 는 잭을 말한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","불균형 모멘트라 함은 교각 주두부를 중심으로 좌우측 세그먼트를 시공함에 있어 자중차이, 시공오차 등으로 인한 하중의 차이로 발생한 모멘트를 말한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","가고정 강봉이라 함은 교각 주두부 시공 후 좌우측 세그 먼트의 시공에 따라 불균형 하중으로 인한 모멘트에 저항하기 위해 교각 두부와 주두부를 고정하기위하여 임시로 설치 하는 강봉을 말한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","가고정 콘크리트 블록이라 함은 교각 주두부 시공 후 좌우측 세그먼트 의 시공에 따라 불균형 하중으로 인한 모멘트에 저항 하기 위해 교각 두부와 주두부 사이에 하중을 지지하기위하여 임시 로 설치하는 가받침 콘크리트 블록을 말한다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","3. 용어의 정의","그 밖의 용어의 뜻은 이 지침에서 규정하는 경우를 제외하고는 산업안전 보건법, 같은법 시행령, 같은법 시행규칙, 안전보건규칙에서 정하는 바에 따른다.","4","53","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","4. F.C.M공법 작업절차","F.C.M공법의 시공순서는 아래의 그림 3과 같으며, F.C.M공법을 이용한 교 량공사의 시공사진은 아래의 그림 4와 같다.","7","123","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","4. F.C.M공법 작업절차","그림 3 F.C.M공법의 시공순서 1 하부공사 2 주두부 가시설 설치 및 시공 3 이동식 작업대차 설치 4 거푸집, 철근, 쉬스관 조립 5 콘크리트 타설, 양생 6 강연선 인장 7 그라우팅 8 키 세그먼트 설치 9 이동식 작업대차 해체 10 측경간 세그먼트 설치 11 F.C.M 교량 완성 그림 4 F.C.M공법의 시공순서 사진","7","123","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","5. 공통적인 안전조치사항","관리감독자는 작업시작 전, 근로자에게 안전 작업순서, 방법, 절차 등을 숙 지시켜야 한다.","9","141","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","5. 공통적인 안전조치사항","시공자는 고소작업에 따른 위험요인에 대한 근로자들의 안전을 고려하여 추락 및 낙하물 방지시설을 설치하여야 한다.","9","141","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","5. 공통적인 안전조치사항","추락의 위험이 있는 작업발판에는 근로자가 안전하게 승강할 수 있는 승강 설비 및 안전난간을 갖추어야 한다.","9","141","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","5. 공통적인 안전조치사항","관리감독자는 작업계획을 수립하고 작업시작 전 또는 작업 중 다음 사항을 준수하여야 한다.","9","141","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","5. 공통적인 안전조치사항","재료 기구의 결함 유무를 점검하고 불량품을 제거 올바른 작업 방법 및 순서를 근로자들에게 교육 작업방법을 지휘하고 이를 감시 근로자의 보호구 착용상태를 감시 작업전 관리감독자는 위험성평가를 실시하여 유해위험요소를 확인하고 작업 중에도 관리감독을 철저히 하여 재해예방을 하여야 한다.","9","141","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","5. 공통적인 안전조치사항","주두부 및 측경간부 시공시 동바리 설치방법, 콘크리트 타설방법, 시공순서 등에 대해 세밀하게 검토하여 안전 작업계획을 수립해야 한다.","9","141","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","5. 공통적인 안전조치사항","화재의 위험이 있는 용접 및 용단 작업장소에는 소화기, 방화수 등을 비치 하여 초기 소화할 수 있도록 하여야 한다.","9","141","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","5. 공통적인 안전조치사항","크레인 작업시에는 KOSHA GUIDE C-48-2012 건설기계 안전보건작업 지 침과 KOSHA GUIDE C-99-2015이동식 크레인 양중작업의 안정성 검토 지침, KOSHA GUIDE C-102-2014건설현장의 중량물 취급 작업계획서이 동식 크레인 작성지침를 준수하여야 하고, 근로자에게 이를 교육시켜야 한다.","9","141","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","5. 공통적인 안전조치사항","강풍 발생시 자재 등의 낙하 및 비래 예방조치를 하여야 한다.","9","141","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","5. 공통적인 안전조치사항","작업 후 작업장 및 통로등의 정리정돈을 실시하여야 한다.","9","141","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","주두부 공사의 전경은 그림 5와 같으며 시공시 유의사항은 다음과 같다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","그림 5 교각위 주두부 설치사진 주두부 콘크리트에 프리스트레스를 도입할 경우 거푸집 및 동바리는 콘크 리트의 탄성변형을 구속하지 않도록 시공하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","교각에 주두부의 거푸집 및 작업발판 등의 연직하중에 내구성을 갖는 강도 의 앵커를 설치하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","이때 앵커를 설치하기 위한 슬리브 는 교각의 콘크리트 타설 전에 매입하여 두어야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","스큐류 잭을 설치할 때에는 앵커체 위에 고장력 볼트의 체결 을 원칙으로 하고, 거푸집, 작업발판, 콘크리트 자중 등 연직하중에 충분히 견딜 수 있는 용량을 확보하였는지 확인하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","주두부에는 세그먼트 시공 중 양측 캔틸레버의 자중차이콘크리트 타설 및 시공오차, 가설하중의 편재하, 양측 캔틸레버부 중 한쪽 세그먼트의 선 시 공, FT 위치 차이, 양측 캔틸레버에 작용하는 풍하중에 의한 상향력 차이, 교축 직각방향 풍하중의 차이, 가설 중 지진하중 등 여러 가지 원인으로 인 한 불균형 모멘트 및 변형이 발생하게 되는데 이러한 불균형 모멘트를 관 리하기 위하여 교량의 상부공 시공방법에 따라 세그먼트 시공시 가벤트 설치, 스테이 케이블 설치, 가고정 콘크리트 블록 설치, 가고정 강봉 설치 등이 있으나 일반적으로 사용하는 가고정 콘크리트 블록 및 가고정 강봉의 설치시 구조검토와 시공계획에 따른 시공여부강봉의 경 우 커플러와의 체결상태, 긴장력 확보를 철저히 확인하여 불균형 모멘트에 대처하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","그림 6 가고정 강봉 및 가고정 콘크리트 블록 설치사진 이동식 작업대차를 조립하기 위해 교각 위에 설치하는 주두부의 시공은 현 장 여건, 지반의 특성, 교각 높이, 주두부의 크기 및 구조를 고려하여 동바 리 형식을 결정하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","거푸집 및 동바리는 시공 중 변형이 발생되지 않도록 강성과 정밀도를 확 보하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","교각을 관통하거나 요철 부위에 H형강 등을 매립하여 동바리 받침으로 사 용할 경우, 주두부 시공 완료 후 H형강을 제거하고 콘크리트나 모르타르로 그라우팅을 실시하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","교각에 앵커 또는 강봉을 매립한 뒤 브라켓을 설치하여 동바리 받침으로 사용하는 경우 앵커의 매입 길이, 직경, 개수에 대한 구조 검토 후에 설치하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","콘크리트 타설 시에는 편심 하중 발생을 최소화하여야 하며, 동바리는 작업 하중 및 주두부 경사면에 의해 발생되는 수평하중에 대해 안전하도록 설치 하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","교각 브라켓 설치시 추락재해예방을 위한 안전시설을 설치하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","교각 상부로 이동할 수 있는 건설용 리프트나 승강통로 등을 설치하여야 하며, 추락 및 낙하물 등에 의한 재해를 예방하기 위한 안전시설물을 설치하 여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","그림 7 상부 이동 건설용 리프트 자재 및 구조물 등의 낙하위험이 있는 구간에는 하부에 근로자들의 출입 통제 조치를 실시하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","주두부 작업발판 및 안전난간 등은 최대한 지상에서 조립한 후 인양하여 설치하는 방법으로 진행하여, 추락 등의 위험이 있는 고소에서 작업을 최소 화하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","그림 8 주두부 브라켓에 작업발판 및 안전난간 거푸집 인양시 타워크레인 마스터 및 본 구조물과의 충돌을 방지할 수 있 도록, 신호 체계 및 작업 계획을 수립하고 준수하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","그림 9 주두부 브라켓에 설치된 거푸집 작업대는 이동 및 작업에 충분한 공간을 확보하여 설치하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","크레인의 훅 해지장치 등 방호장치 이상유무를 확인하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","타워크레인 및 건설용 리프트는 안전인증 및 안전검사를 받아야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","거푸집 및 브라켓 해체시 추락방지 시설을 설치하여야 하고 H형강 해체작 업 시에는 근로자가 추락하지 않도록 대피공간을 확보하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","브라켓 등을 해체작업에 사용하는 와이어로프는 작업 전에 손상유무를 확인하여야 하고, 인양 등의 작업시 이탈되지 않도록 견고히 결속하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","그림 10 주두부 브라켓 해체시 근로자 추락 위험 사진 주로 산간계곡, 바다, 하천을 통과하는 FCM 교량의 특성상 순간풍속이 초 당 10미터를 초과하거나 눈, 비 등 외적 환경요인이 악화되는 경우에는 거 푸집동바리의 설치, 해체작업을 중지하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","6. 주두부 안전작업","FCM 주두부 가시설은 주두부 완성후 세그먼트 시공을 위한 이동식 작업대차 설치를 위하여 해체작업이 선행되어야하며, 해체 시 에는 설치 시와는 달리 시공된 주두부로 인하여 작업공간 협소 및 시거가 불 량해지고, 고소작업 여건 등으로 인하여 하부 신호수, 상부 H형강 해체 작업 자, 크레인 운전자 등과의 신호불일치가 발생하지 않도록 관리하여야 한다.","11","174","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","그림 11 이동식 작업대차 그림 12 이동식 작업대차 세부 구성요소 명칭 그림 13 F.C.M 공법의 현장 전경 및 이동식 작업대차 이동식 작업대차 부재 인양시 타워크레인 마스터 및 본 구조물과의 충돌을 방지할 수 있도록, 신호 체계 및 작업 계획을 수립하고 준수하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차의 메인프레임은 세그먼트 시공 중 발생하는 모든 하중을 앵커잭 등의 고정 장치에 안전하게 전달할 수 있는 구조로 설치하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차는 콘크리트 타설을 포함한 모든 작업하중에 대해서 안전 성 확보하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차를 주두부에 거치시 추락 재해를 예방하기 위한 안전시설 등을 설치하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차의 이동 및 재설치 시에는 다음 사항에 유의하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","매설 정착부 및 레일을 정확하게 배치하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","레일의 정착부를 수시로 점검하여 이동 시 인발이 생기지 않도록 하여 야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","모든 거푸집의 해체여부를 확인하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차를 궤도에 설치하거나 해체할 때에는 이동식 작업대차 가 기울지 않도록 좌우의 잭을 균등하게 조작하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차를 이동할 경우에는 기울지 않도록 이동식 작업대차의 좌 우 프레임을 균등하게 조정하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","시공구간에 돌출되어 있는 PS강재 및 철근은 보호캡을 씌우고 위험표시 를 하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차는 수평으로 설치하여야 하며, 앵커에는 설계에 따른 프 리스트레스를 도입하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차는 정기 및 수시 점검을 통하여 이상유무를 확인하여야 하 며, 주요 점검항목은 다음과 같다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","잭의 작동부 앵커 장치 접속부의 볼트 거푸집의 행거장치 프레임의 변형유무 거푸집 및 작업대는 이동식 작업대차 메인프레임에 연결된 수직의 현수재에 견고하게 부착되어야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차용 레일은 세그먼트에 레일 앵커를 이용하여 견고하게 고 정시켜야 하며, 교량에 고저차가 있는 경우에는 레일의 높이를 조정하여 이 동식 작업대차의 수평을 유지하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","단위 작업을 마친 이동식 작업대차를 다음 작업 장소로 이 동 후에는 즉시 앵커용 강봉으로 세그먼트에 고정시켜야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","앵커용 강봉은 포스트텐셔닝을 위한 강선과 간섭되지 않는 장소에 설치하 여야 하고, 설계에 따른 프리스트레스를 도입하여 긴장시켜 고정하여야 하 며, 모든 작업하중에 대한 안전성을 확보하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차를 이동할 때에는 안전한 작업방법 및 순서를 결정한 후 에 작업지휘자의 지시에 따라 작업하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차를 설치 완료 또는 이동 완료하였을 때에는 이동식 작업대차의 비틀림 여부, PS강봉의 변형 유무, 이음부 볼트체결 이상 유무, 작업대 표 면의 결함 유무, 작업대 안전난간 이상 유무 등을 확인하여야 한다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","이동식 작업대차는 풍하중 등의 수평하중에 대한 안전성을 확보하여야 하 며, 10msec이상의 강풍시에는 이동식 작업대차의 이동 등의 작업을 행하 여서는 안된다.","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","7. 이동식 작업대차 안전작업","그림 14 이동식 작업대차 이동","15","253","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","그림 15 키 세그먼트 위치도 그림 16 키 세그먼트 거푸집 설치 세그먼트 시공계획 수립시 다음과 같은 사항에 관하여 검토를 하여 야 한다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","세그먼트의 길이는 콘크리트의 1일 타설 능력과 이동식 작업대차의 크기 등을 고려하여 결정하여야 한다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","캔틸레버 가설시 신구 콘크리트 사이의 이음부에 단차가 발생하지 않도록 이음부 거푸집은 견고하게 설치하여야 한다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","이동식 작업대차의 자중, 작업하중, 타설하중 등에 의해서 이동식 작업대차 에 발생되는 모든 변형량을 설계자는 검토해야 하고, 시공 시 처짐 관리가 용이한 방법 등을 고려하여야 한다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","세그먼트 작업시에는 다음 사항을 점검하여 이상유무를 확인하여야 한다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","세그먼트의 처짐 교각 기초의 침하, 교각의 크리프 건조수축에 의한 영향 이동식 작업대차 각 부재의 변형 세그먼트의 횡방향 변형 세그먼트 사이의 시공 이음부는 표면처리를 철저히 하여 접착강도가 충분 히 발휘될 수 있도록 하여야 한다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","아래의 내용을 포함한 안전작업방법을 수립하여 준수하여야 한다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","교축방향의 일치 및 수직 방향의 상대변위 방지 대책 교축직각방향의 상대변위 방지 대책 콘크리트 타설시 변위 방지 및 타설 후의 처짐 방지 대책 키 세그먼트 콘크리트 타설 후 기 완성된 F.C.M 구간의 건조수축 및 온도변화에 의한 균열 방지대책 키 세그먼트 긴장시 거동의 변화로 인한 간섭 방지대책 키 세그먼트 접합 종료 후 빔해체를 위한 작업구 설치 계획 중앙 키 세그먼트의 시공순서는 다음과 같다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","이동식 작업대차에 의하여 캔틸레버 단부의 상대변위 및 단차를 조정한다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","수평버팀대를 복부 헌치에 설치 고정한다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
"F.C.M 교량공사 안전보건작업 지침.pdf","8.1 시공계획 수립시 고려사항","외측 바닥판과 거푸집을 설치한다.","19","319","F.C.M 교량공사 안전보건작업 지침.pdf"
